Ticker,Entry Time,Exit Time,Side,Entry Price,Exit Price,PNL,Exit Reason
OLAELEC,2025-08-25 10:04:00,2025-08-25 10:07:00,LONG,48.6,48.31,-596.53,Stop Loss
OLAELEC,2025-08-25 10:08:00,2025-08-25 10:15:00,LONG,48.4,48.06,-702.44,Stop Loss
OLAELEC,2025-08-25 10:35:00,2025-08-25 11:31:00,LONG,48.2,47.94,-539.24,Stop Loss
OLAELEC,2025-08-25 11:55:00,2025-08-25 14:36:00,LONG,48.25,48.77,1077.44,Trailing Stop
TCS,2025-08-25 09:25:00,2025-08-25 15:29:00,LONG,3101.3,3142.1,1305.6,End of Day
WAAREEENER,2025-08-25 13:35:00,2025-08-25 14:31:00,LONG,3130.8,3160.0,905.2,Trailing Stop
WAAREEENER,2025-08-25 14:32:00,2025-08-25 15:19:00,LONG,3162.6,3146.1,-511.5,Stop Loss
WAAREEENER,2025-08-25 15:20:00,2025-08-25 15:29:00,LONG,3149.2,3151.9,83.7,End of Day
DIVISLAB,2025-08-25 09:25:00,2025-08-25 10:07:00,LONG,6239.0,6207.0,-512.0,Stop Loss
DIVISLAB,2025-08-25 10:08:00,2025-08-25 15:29:00,LONG,6215.5,6242.0,424.0,End of Day
ETERNAL,2025-08-25 10:45:00,2025-08-25 14:37:00,LONG,321.5,319.85,-513.15,Stop Loss
BLS,2025-08-26 09:25:00,2025-08-26 09:34:00,LONG,376.45,384.75,2199.5,Target Hit
BLS,2025-08-26 09:35:00,2025-08-26 09:35:00,LONG,385.3,382.0,-854.7,Stop Loss
BLS,2025-08-26 09:36:00,2025-08-26 09:44:00,LONG,382.4,380.0,-626.4,Stop Loss
BLS,2025-08-26 09:45:00,2025-08-26 09:51:00,LONG,380.65,376.45,-1100.4,Stop Loss
BLS,2025-08-26 09:52:00,2025-08-26 10:23:00,LONG,377.25,375.1,-569.75,Stop Loss
BLS,2025-08-26 10:25:00,2025-08-26 15:01:00,LONG,375.8,372.05,-997.5,Stop Loss
ETERNAL,2025-08-26 13:35:00,2025-08-26 14:11:00,LONG,321.0,319.2,-559.8,Stop Loss
WAAREEENER,2025-08-26 09:55:00,2025-08-26 12:05:00,LONG,3173.5,3190.0,511.5,Trailing Stop
WAAREEENER,2025-08-26 12:06:00,2025-08-26 12:17:00,LONG,3192.0,3175.1,-523.9,Stop Loss
WAAREEENER,2025-08-26 15:05:00,2025-08-26 15:10:00,LONG,3219.8,3288.0,2114.2,Target Hit
WAAREEENER,2025-08-26 15:11:00,2025-08-26 15:13:00,LONG,3299.0,3264.5,-1035.0,Stop Loss
WAAREEENER,2025-08-26 15:14:00,2025-08-26 15:20:00,LONG,3295.0,3276.7,-549.0,Stop Loss
WAAREEENER,2025-08-26 15:21:00,2025-08-26 15:29:00,LONG,3284.0,3321.0,1110.0,End of Day
VMM,2025-08-26 09:25:00,2025-08-26 11:12:00,LONG,150.4,149.26,-756.96,Stop Loss
VMM,2025-08-26 11:13:00,2025-08-26 11:19:00,LONG,149.34,148.37,-648.93,Stop Loss
VMM,2025-08-26 14:25:00,2025-08-26 15:05:00,LONG,149.32,153.01,2468.61,Target Hit
VMM,2025-08-26 15:06:00,2025-08-26 15:17:00,LONG,154.74,151.26,-2248.08,Stop Loss
VMM,2025-08-26 15:18:00,2025-08-26 15:19:00,LONG,152.2,149.84,-1550.52,Stop Loss
VMM,2025-08-26 15:20:00,2025-08-26 15:26:00,LONG,151.26,150.42,-555.24,Stop Loss
VMM,2025-08-26 15:27:00,2025-08-26 15:29:00,LONG,150.42,151.2,517.92,End of Day
SWIGGY,2025-08-26 10:55:00,2025-08-26 11:08:00,LONG,429.0,426.8,-512.6,Stop Loss
SWIGGY,2025-08-26 11:09:00,2025-08-26 11:12:00,LONG,426.8,423.95,-666.9,Stop Loss
SWIGGY,2025-08-26 11:13:00,2025-08-26 11:48:00,LONG,423.95,421.25,-634.5,Stop Loss
SWIGGY,2025-08-26 14:25:00,2025-08-26 15:05:00,LONG,422.75,432.1,2206.6,Target Hit
SWIGGY,2025-08-26 15:06:00,2025-08-26 15:15:00,LONG,433.25,430.4,-655.5,Stop Loss
SWIGGY,2025-08-26 15:16:00,2025-08-26 15:17:00,LONG,431.05,428.3,-635.25,Stop Loss
SWIGGY,2025-08-26 15:18:00,2025-08-26 15:19:00,LONG,428.3,425.1,-745.6,Stop Loss
SWIGGY,2025-08-26 15:20:00,2025-08-26 15:29:00,LONG,425.1,428.6,822.5,End of Day
WAAREEENER,2025-08-28 09:25:00,2025-08-28 10:03:00,LONG,3309.0,3377.7,2061.0,Target Hit
WAAREEENER,2025-08-28 10:04:00,2025-08-28 10:07:00,LONG,3389.0,3371.1,-519.1,Stop Loss
WAAREEENER,2025-08-28 10:08:00,2025-08-28 10:12:00,LONG,3374.6,3357.5,-495.9,Stop Loss
WAAREEENER,2025-08-28 10:13:00,2025-08-28 11:27:00,LONG,3358.0,3340.0,-522.0,Stop Loss
WAAREEENER,2025-08-28 13:45:00,2025-08-28 14:56:00,LONG,3385.0,3408.8,690.2,Trailing Stop
WAAREEENER,2025-08-28 14:57:00,2025-08-28 15:23:00,LONG,3414.9,3394.3,-597.4,Stop Loss
WAAREEENER,2025-08-28 15:24:00,2025-08-28 15:24:00,LONG,3406.9,3385.0,-635.1,Stop Loss
